ein,name,street,city,state,zip,affiliation,deductibility,activity,organization,tax_period,asset_cd,income_cd,filing_req_cd,acct_pd,asset_amt,income_amt,revenue_amt,elf,tax_pd,subseccd,totrevnue,totliabend,filedf990tcd,gftgrntsrcvd170,grsrcptsrelated170,exceeds1pct509,grsinc509
10452702,XI BETA OF CHI OMEGA HOUS,40 MARTIN AVE,SCARBOR,ME,04074-9728,3,2,36042000,1,2,4,4,1,12,294900,176462,176462,Y,201512,7,139523,0,N,0,0,0,0
10458291,KENNEBUBK PORTSIDE ROTARY,PO BOX 1167,KENNEBU,ME,04046-1167,3,2,0,1,2,2,3,2,6,12414,39479,33353,N,201506,4,33648,0,N,0,0,0,0
10459415,SOUTH PORTLAND POLICE PAT,30 ANTHOINE ST,S PORTL,ME,04106-4403,3,2,262000000,1,2,2,3,2,12,10050,26110,26110,Y,201512,5,23806,0,N,0,0,0,0
10463028,PORTLAND TRAILS,305 COMMERCIAL S,PORTLAN,ME,04101-4641,3,1,994350000,1,2,6,4,1,12,1304739,497322,471077,Y,201512,3,13811,12170,N,0,0,0,11685
10463604,AURORA VOLUNTEER FIRE DEP,PO BOX 33,AURORA,ME,04408-0033,3,1,0,1,2,4,3,1,12,242499,51149,50777,N,201512,3,50777,50251,N,788,0,0,0
10463933,PRESQUE ISLE HISTORICAL &,16 3RD ST,PRESQUE,ME,04769-2416,3,1,60094000,1,2,5,3,1,12,910491,53575,53575,N,201512,3,420,3516,N,170648,18623,0,0
10490422,PERSONAL ONSITE DEVELOPME,PO BOX 1507,LEWISTO,ME,04241-1507,3,1,998000000,1,2,5,5,1,6,518515,768512,768512,Y,201606,3,768134,305404,N,0,0,0,864
10490453,FALMOUTH YOUTH SOCCER ASS,PO BOX 66844,FALMOUT,ME,04105-6844,3,1,995288000,1,2,4,4,1,12,178242,117804,112795,Y,201512,3,91290,0,N,0,0,0,1033
10490483,STEPHEN W MANCHESTER POST,17 DUNN ST,WESTBRO,ME,04092-0000,3,1,0,1,2,2,3,1,12,19155,56027,52130,Y,201512,19,53645,0,N,0,0,0,0
10490877,NATIONAL ATHLETIC TRAINER,20 HOPE AVE STE,WALTHAM,MA,02453-2717,9,2,205000000,5,2,4,4,1,3,254781,117804,117804,Y,201603,6,117794,0,N,0,0,0,0
10500427,CONNECTIONS FOR KIDS,100 GANNETT DRIV,SOUTH P,ME,04106-5900,3,1,994326327,1,2,6,7,1,6,2847163,8801833,8801833,Y,201506,3,5045331,896441,N,0,0,0,157423
10502709,ATLANTIC STATES RURAL WAT,11 HIGH ST STE 2,SUFFIEL,CT,06078-2125,3,2,353351123,1,2,4,5,1,6,187843,603156,603156,N,201506,6,42459,197531,Y,0,0,0,0
10508275,MAINE BREWERS GUILD,C/O INTEGRATED T,PORTLAN,ME,04103-0000,3,2,205000000,5,2,3,4,1,12,50110,240959,147282,Y,201512,6,143507,107,N,0,0,0,0
10511656,UNITY BARN RAISERS,PO BOX 381,UNITY,ME,04988-0381,3,1,0,1,2,4,4,1,12,228375,123361,123361,Y,201512,3,90966,797,N,258337,0,0,0
10518745,MAINE MANUFACTURING EXTEN,87 WINTHROP STRE,AUGUSTA,ME,04330-5536,3,1,0,1,2,5,6,1,6,933393,1883053,1883053,Y,201606,3,334892,305919,N,6221189,0,0,0
10518900,THE POP TECH INSTITUTE,PO BOX 1405,CAMDEN,ME,04843-1405,3,1,0,1,2,3,5,1,12,70578,663542,663542,Y,201512,3,397563,573965,N,0,0,0,880
10520096,CENTER THEATRE INC,20 E MAIN ST,DOVR FO,ME,04426-1414,3,1,0,1,2,6,4,1,12,1387052,304145,301223,Y,201512,3,181071,14235,Y,0,0,31400,39940
10533179,FREEMAN FOREST HOUSING CO,PO BOX 2219,BANGOR,ME,04402-2219,3,1,0,1,2,6,4,1,12,1047248,229292,229292,Y,201512,3,229747,1204873,N,1142303,229747,0,0
10538224,CATHANCE RIVER EDUCATION,PO BOX 187,TOPSHAM,ME,04086-0187,3,1,0,1,2,4,4,1,12,210893,102547,102547,Y,201512,3,103640,0,N,0,0,406201,375
10545607,SOUTHERN AROOSTOOK AGRICU,1678 US HWY 1,LITTLET,ME,04730-6114,3,1,0,1,2,4,3,1,2,136714,73929,65046,Y,201602,3,29175,0,N,70805,0,0,0
10555813,JEFF SPOONEYBARGER MINISTRIES INC,203 CORDOBA ST,GULF BREEZE,FL,32561-4007,3,1,0,1,201612,1,3,1,12,5094,79285,79285,Y,201512,3,75475,0,N,0,0,3322,0
10557037,SHARE AND CARE COCKAYNE SYNDROME NETWORK INC,PO BOX 282,WATERFORD,VA,20197-0282,3,1,0,1,201512,3,4,1,12,72012,213378,161040,N,201412,3,77124,0,N,432519,0,0,0
10559171,COMMUNITY PARTNERS OF SHAWNEE MENTAL HEALTH CENTER INC,901 WASHINGTON ST,PORTSMOUTH,OH,45662-3944,3,1,0,1,201606,4,1,2,6,154859,5908,5908,N,201606,3,5908,0,N,0,0,0,10376
10562526,ASSOCIATION OF COMMUNITY PHARMACISTS INC,816 ELLIS RD,DURHAM,NC,27703-6019,3,2,0,1,201612,3,3,1,12,46879,52582,52582,N,201512,6,1415,0,N,0,0,0,0
10565752,CANOPY,3921 EAST BAYSHORE ROAD,PALO ALTO,CA,94303-4326,3,1,0,1,201706,5,5,1,6,634495,886862,886862,Y,201606,3,191899,22995,N,0,0,0,1536
10569967,COCHISE HEALTH NETWORK,101 COLE AVE,BISBEE,AZ,85603-1327,3,1,0,1,201609,1,4,1,9,179,209152,209152,N,201509,3,240787,0,N,0,0,0,0
10572077,ENABLE AMERICA INC,101 E KENNEDY BLVD STE 3220,TAMPA,FL,33602-5269,3,1,0,1,201512,3,4,1,12,51752,184065,160523,Y,201512,3,0,63794,N,1236784,0,0,0
10574137,YUMA SOUTHWEST CONTRACTORS ASSOCIATION,350 W 16TH SL 428,YUMA,AZ,85364-0000,3,2,0,1,201612,4,4,1,12,171471,272364,272364,Y,201512,6,207763,8486,N,0,0,0,0
10575509,IMPACT PARTNERS INC,5830 WILTSHIRE DR,COLUMBUS,GA,31909-4748,3,1,0,1,201612,1,1,2,12,1178,1030,1030,N,201512,3,1000,0,N,0,0,0,0
10579792,FRIENDS OF MOUNTAINVIEW CEMETARY,5000 PIEDMONT AVE,OAKLAND,CA,94611-4220,3,1,0,1,201612,3,4,1,12,25387,169272,169272,Y,201512,3,191650,17505,N,0,0,541796,4348
10579796,AMERICA ABROAD MEDIA,1701 PENNSYLVANIA AVE NW STE 300,WASHINGTON,DC,20006-5813,3,1,0,1,201612,4,6,1,12,228573,1215526,1215526,Y,201512,3,0,372152,N,13193709,0,0,0
10588347,CPYSC,PO BOX 545,PALMYRA,PA,17078-0545,3,1,0,5,201512,3,4,1,12,38419,151716,117410,Y,201512,3,56924,2085,N,0,0,0,479
10592271,RKM CRISIS TEAM,1127 ELDRIDGE PKWY STE 300 # 101,HOUSTON,TX,77077-1772,3,1,0,1,201612,3,3,1,12,72971,75357,75357,N,201512,3,74085,0,N,0,0,0,0
10595862,ACCESS INSTITUTE FOR PSYCHOLOGICAL SERVICES,110 GOUGH ST STE 301,SAN FRANCISCO,CA,94102-5971,3,1,0,1,201706,4,6,1,6,336545,1051482,1007243,Y,201606,3,295880,7471,N,0,0,0,0
10597016,PELICAN ISLE YACHT CLUB INC,410 DOCKSIDE DR,NAPLES,FL,34110-3600,3,2,0,1,201606,8,6,1,6,18592194,2806201,2520759,N,201506,7,1893024,1913252,Y,0,0,0,0
10598057,FRIENDS OF HOLLY HILL FAR,236 JERUSALEM RD,COHASSE,MA,02025-1109,3,1,0,1,2,3,4,1,12,69009,456184,456184,Y,201512,3,268779,0,N,0,0,0,354
10626866,LEECHBURG VOLUNTEER FIRE COMPANY,268 CANAL ST,LEECHBURG,PA,15656-1357,3,1,0,1,201612,6,4,1,12,3262670,247030,222482,N,201512,3,0,0,N,438765,138174,0,0
10629181,PAKISTAN ASSOCIATION OF MEMPHIS,533 GREYWOOD LN,CORDOVA,TN,38018-7006,3,1,0,1,201612,3,4,1,12,94803,175219,175219,Y,201512,3,139172,0,N,0,0,0,0
10629345,VOLUNTEER CHRISTIAN TELEVISION INC,PO BOX 6922,CLEARWATER,FL,33758-6922,3,1,0,1,201612,6,4,1,12,3416983,437236,437236,Y,201512,3,452293,5439440,N,0,0,1289503,38579
10636109,DEERFIELD VALLEY FOOD PAN,PO BOX 1743,WILMING,VT,05363-1743,3,1,0,1,2,4,3,1,5,167890,60690,60690,Y,201605,3,54438,1580,N,326562,0,0,0
10646506,ANGELS OF GRACE INC,1095 N VAN NESS AVE,FRESNO,CA,93728-3429,3,1,0,1,201612,4,6,1,12,170107,1122025,1122025,Y,201512,3,0,89277,N,6265243,0,0,0
10649850,UTILITY CONTRACTORS ASSOC,PO BOX 881,GREENVI,RI,02828-0881,3,2,0,1,2,4,4,1,12,268213,155644,110583,Y,201512,6,110583,50900,N,0,0,0,0
10654498,GOSPEL 4 KIDS INC,PO BOX 7477,SURPRISE,AZ,85374-0107,3,1,0,1,201612,1,3,1,12,3376,68403,68403,Y,201512,3,70070,0,N,352467,0,0,0
10655012,PACIFIC PARTNERSHIP,PO BOX 267,PACIFIC,MO,63069-0267,3,1,0,1,201612,4,3,1,12,118360,56466,31595,Y,201512,3,20774,7397,N,0,0,0,0
10657002,SEVEN HILLS BASEBALL FEDERATION INC,PO BOX 31115,SEVEN HILLS,OH,44131-0115,3,1,0,1,201612,1,2,2,12,1074,21422,21422,N,201512,3,33696,0,N,0,0,0,0
10674819,JOYCE-GILLESPIE-HARRINGTON EDUCATIONAL & CHARITABLE FOUN,11654 PLAZA AMERICA DRIVE ROOM 290,RESTON,VA,20190-4700,3,1,0,1,201612,3,3,1,12,92398,82622,36202,Y,201512,3,0,0,N,0,0,0,320
10682365,LAKE VIEW VOLUNTEER FIRE,PO BOX 321,LAKE VI,NY,14085-0321,3,1,0,1,2,4,3,1,12,252962,86882,76002,N,201512,4,76002,0,N,0,0,0,0
10682614,ORDWAY RESEARCH INSTITUTE,885 3RD AVE FL 1,NEW YOR,NY,10022-4834,3,1,0,1,2,7,4,1,6,5468957,354237,-45763,N,201506,3,0,15256117,N,0,0,0,0
10688494,POTTSTOWN AREA DEVELOPMENT CORPORATION VI,152 EAST HIGH STREET,POTTSTOWN,PA,19464-5400,3,1,0,1,201612,1,1,2,12,1,350,350,Y,201512,3,450,331,N,2350,0,0,0
10688897,OHIO NETWORK OF CHILDRENS ADVOCACY CENTERS,655 E LIVINGSTON AVE,COLUMBUS,OH,43205-2618,3,1,0,1,201606,3,5,1,6,63641,528202,528202,Y,201506,3,4325,0,N,1901375,0,0,0
10698480,PTA TEXAS CONGRESS,25815 OVERLOOK PKWY,SAN ANTONIO,TX,78260-2412,9,1,59035000,1,201606,0,0,2,6,0,0,0,N,201506,3,28709,672,N,9378,0,0,0
10701650,FRATERNAL ORDER OF POLICE,PO BOX 3175,JOLIET,IL,60434-3175,9,1,265000000,5,201612,4,4,1,12,213241,184649,152333,Y,201512,8,176998,192,N,0,0,0,0
10705809,CLEARWATER HOMES INC,5254 LAKE ROAD EAST,GENEVA,OH,44041-9490,3,1,0,1,201612,4,6,1,12,354949,1461425,1461425,Y,201512,3,1500133,623,N,0,0,0,0
10719397,DELTA CARE INC,17530 NW 18TH AVE,MIAMI GARDENS,FL,33056-4943,3,1,0,1,201612,3,3,2,12,46063,35780,35780,N,201512,3,27810,0,N,0,0,0,0
10728178,ALVEOLI CORPORATION,4000 WATERDAM PLAZA DR STE 240,MCMURRAY,PA,15317-2494,3,1,0,1,201606,4,5,1,6,305799,532415,532415,Y,201606,3,242603,644,N,0,0,0,181
10730138,CREW AUSTIN INC,3209 BLUE RIDGE DR,CEDAR PARK,TX,78613-5420,3,2,0,1,201612,4,4,1,12,163938,144221,123642,Y,201512,6,126666,53543,Y,0,0,0,0
10734732,UNITED PRAYER OUTREACH,PO BOX 323,GOLDSBORO,NC,27533-0323,3,1,0,1,201612,1,3,2,12,521,25080,25080,N,201512,3,29405,0,N,0,0,0,0
10741733,INTERNATIONAL PARTNERSHIP FOR MICROBICIDES INC,8405 COLESVILLE RD STE 600,SILVER SPRING,MD,20910-6357,3,1,0,1,201612,8,8,1,12,20060195,41702639,35971802,Y,201512,3,0,10179304,N,162909722,0,0,0
10746051,INFORMATION SYSTEMS SECURITY ASSOCIATION,11130 SUNRISE VALLEY DR STE 350,RESTON,VA,20191-4371,9,2,205000000,1,201612,3,4,1,12,58580,235648,235648,N,201512,6,197787,0,N,0,0,0,0
10760086,CONSUMERS ADVANCING PATIENT SAFETY,405 N WABASH AVE STE P2W,CHICAGO,IL,60611-3541,3,1,0,1,201612,3,4,1,12,32546,439838,439838,Y,201512,3,24693,613,N,0,0,0,0
10778616,CORTEZ RACING ASSOCIATION A CALIFORNIA CORPORATION,2907 SHELTER ISLAND DR 105-515,SAN DIEGO,CA,92106-2797,3,1,0,1,201512,2,3,2,12,23063,47702,47702,N,201512,3,47702,0,N,0,0,0,2
10778722,BERKSHIRE PSYCHOANALYTIC,PO BOX 877,STOCKBR,MA,01262-0877,3,1,0,1,2,3,2,2,3,34714,12501,12501,N,201603,3,16845,0,N,0,0,0,0
10779923,THOMAS C & SANDRA S SULLIVAN FOUNDATION,1404 E 9TH ST,CLEVELAND,OH,44114-1740,9,1,31150120,5,201512,6,6,1,12,4036306,1149723,216308,N,201412,3,0,0,N,0,0,0,0
10791995,DENVER DAYS INC,PO BOX 1701,DENVER,NC,28037-1701,3,1,0,1,201612,2,3,2,12,19726,47816,13098,Y,201512,3,6042,0,N,0,0,0,4
10798281,INTERNATIONAL LINCOLN ASSOCIATION,5734 ROMA DR,SHREVEPORT,LA,71105-4225,3,1,0,1,201612,1,0,2,12,1,0,0,Y,201512,3,0,0,N,0,0,0,0
10811494,ROCHESTER BUSINESSMANS CH,PO BOX 347,PENFIEL,NY,14526-0347,3,1,0,1,2,3,4,1,12,33930,163995,163995,Y,201512,3,163995,16000,N,0,0,0,0
10813672,ASIAN FESTIVAL CORPORATION,1881 BRANDYWINE DR,COLUMBUS,OH,43220-4421,3,1,0,1,201612,5,4,1,12,554700,313891,313891,Y,201512,3,0,0,N,1548137,7492,0,0
10814422,RACE FOR FAITH INC,46 HARBOUR DR S,OCEAN RIDGE,FL,33435-6213,3,1,0,1,201612,1,2,2,12,8659,13742,5712,Y,201512,3,523,0,N,0,0,0,0
10832165,KARAMA CONNECTION,3612 ZUMSTEIN AVE,CINCINNATI,OH,45208-1312,3,1,0,1,201512,1,3,1,12,8030,85932,80482,N,201412,3,54010,0,N,0,0,0,0
10844532,RESTORATION MINISTRIES INC,1404 TAMMY ANNE CIR,BIRMINGHAM,AL,35235-1607,3,1,0,1,201612,2,4,1,12,19529,115722,115722,Y,201512,3,91598,0,N,524908,0,0,0
10846296,DA VINCI CHARTER ACADEMY BOOSTER CLUB,1400 E 8TH ST,DAVIS,CA,95616-2404,3,1,0,1,201606,3,3,1,6,31105,73244,66507,Y,201506,3,65123,0,N,0,0,0,88
10854022,ALTAMONT CRUISERS,3231 CHERYL CIR,PLEASANTON,CA,94588-5112,3,2,0,1,201612,1,3,2,12,6674,47611,20919,N,201512,4,30526,0,N,0,0,0,0
10859843,NATIONAL MUSEUM OF WORLD WAR II AVIATION INC,755 AVIATION WAY,COLORADO SPGS,CO,80916-2740,3,1,0,1,201612,6,4,1,12,3427140,368757,349558,Y,201512,3,67701,2266551,N,2098298,578493,0,0
10860991,PLAINSBORO FREE PUBLIC LI,641 PLAINSBORO R,PLAINSB,NJ,08536-2094,3,1,0,1,2,5,3,2,6,577643,41762,29231,N,201506,3,0,0,N,15230,0,0,0
10861643,PUTNAM LAND CONSERVANCY INC,PO BOX 8,PALATKA,FL,32178-0008,3,1,0,1,201612,6,6,1,12,3508789,1077867,1037480,N,201412,3,35637,7656,N,2328948,0,0,0
10874480,OHIO COMBAT VETERANS ASSOCIATION,213 KEMPERWOOD DR,PATASKALA,OH,43062-9698,3,1,0,1,201612,2,3,2,12,14556,29224,28116,Y,201512,19,52168,0,N,0,0,0,0
10882514,SPRING GROVE AREA YOUTH BASEBALL ASSOCIATION,50 N EAST ST STE 5,SPRING GROVE,PA,17362-1246,3,1,0,5,201609,3,3,1,9,33457,50692,43114,Y,201509,3,45373,0,N,0,0,0,33
10885580,HANCOCK IMPROVEMENT ASSOC,PO BOX 112,HANCOCK,NH,03449-0112,3,1,0,1,2,2,3,2,12,22360,47316,37142,Y,201512,3,88998,0,N,0,0,0,93
10894563,AGAPE ORPHAN MINISTRIES INC,241 MARSHALL DR,CLARKSVILLE,TN,37042-5908,3,1,0,1,201612,0,0,2,12,0,0,0,Y,201512,3,30920,0,N,30920,0,0,0
10902150,CLEARY FOUNDATION FOR THE,301 SMITHTOWN BL,NESCONS,NY,11767-2080,3,1,0,1,2,5,4,1,6,753642,253515,191064,Y,201606,3,0,31985,N,1193921,0,0,0
10911124,STEPHEN J PONZILLO JR MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODG,304 INTERNATIONAL CIR,COCKEYSVILLE,MD,21030-1300,3,1,0,1,201606,2,2,2,6,12246,20300,20300,Y,201606,3,0,2615,N,90869,0,0,0
10914180,HEYWARD EDUCATION FOUNDATION INC,3560 LYNHAVEN DR,COLUMBIA,SC,29204-4413,3,1,0,1,201512,0,0,2,12,0,0,0,N,201312,3,1421,0,N,0,0,0,0
10916571,BIGFOOT VOLUNTEER FIRE DEPARTMENT INC,PO BOX 34,BIGFOOT,TX,78005-0034,3,1,0,1,201706,4,3,1,6,256535,89991,87811,Y,201606,3,197424,64971,N,182319,0,0,0
10918058,COPPER STREET BRASS QUINTET NON PROFIT,511 GROVELAND AVE,MINNEAPOLIS,MN,55403-3223,3,1,0,1,201706,4,4,1,6,166542,261419,261419,N,201606,3,107316,0,Y,301919,682996,0,0
10918626,BALLET FOLKLORICO ANAHUAC,3125 FLUSHING MEADOWS DR,MODESTO,CA,95355-8413,3,1,0,1,201512,1,3,2,12,,,,Y,201512,3,29500,0,N,0,0,0,0
10920232,FLORIDIANS FOR GOVERNMENT ACCOUNTABILITY INC,526 E PARK AVENUE,TALLAHASSEE,FL,32301-2568,3,2,0,1,201612,2,4,1,12,12342,310000,310000,Y,201512,4,170000,0,N,0,0,0,0
10936728,BARTS BLUE STAR FOUNDATION INC,480 NE LIMA VIAS,JENSEN BEACH,FL,34957-6630,3,1,0,1,201612,3,1,2,12,64118,3145,2965,Y,201512,3,0,0,N,0,0,0,0
10938132,7 RIVERS ALLIANCE,400 7TH ST N,LA CROSSE,WI,54601-3368,3,2,0,1,201612,3,4,1,12,80119,160769,160769,Y,201512,6,75819,22477,N,0,0,0,0
10946091,QUALITY FIRST CHILD CARE INC,1451 GLENSIDE DR,BOLINGBROOK,IL,60490-5480,3,1,0,1,201612,4,5,1,12,146212,556400,556400,N,201512,3,400000,76800,N,0,0,0,0
